# 5_percentile 25_percentile 50_percentile 75_percentile 95_percentile
-2.139540804659068512e-06 -1.051500578091485055e-06 -5.647526264315992537e-07 -4.211790795092494008e-08 1.000578945281972571e-06
-1.169213270772976885e-06 -1.832455061304890319e-07 3.168384632132473273e-07 8.194437649873651106e-07 2.154573424785041817e-06
-2.665533273705272700e-07 6.435019827324868305e-07 1.074684071303055454e-06 1.623278133442618302e-06 3.008546762949017074e-06
1.486050685793416323e-08 1.304726423031004799e-06 1.762068856122008460e-06 2.310317240322019478e-06 3.448628024034182349e-06
2.671183810047814240e-07 1.826254902632064117e-06 2.304989106552049099e-06 2.754465520571111034e-06 3.945023418249249988e-06
7.788146914869007897e-07 2.211288946323499920e-06 2.687391635786947110e-06 3.121140213838990938e-06 4.612185347546385344e-06
1.125542945951512021e-06 2.324481219945315975e-06 2.855560480092316879e-06 3.327561341123905217e-06 5.134642845017631231e-06
1.233701704407594984e-06 2.225775392839274155e-06 2.803042649190264894e-06 3.335842713773710109e-06 4.923953902948253023e-06
9.925812027926331338e-07 1.965627611184678351e-06 2.534353954516427388e-06 3.142940117962440927e-06 5.069220802224265912e-06
6.488549258706374410e-07 1.597839930902306059e-06 2.085392266144135443e-06 2.723484743593977281e-06 4.816297267057584993e-06
2.649283964054318856e-08 1.052166951999565934e-06 1.515833849965591541e-06 2.101741517848634974e-06 4.100758323850142716e-06
-6.138662662049343124e-07 4.582169526955589891e-07 8.996384485765858714e-07 1.399442975627903653e-06 3.520745623900673878e-06
-1.177885733286835426e-06 -2.142533804536786898e-07 2.349701608915778710e-07 7.291550702359913292e-07 2.962991742327420325e-06
-1.980293094564205318e-06 -9.177539106451441445e-07 -4.221853606088487653e-07 1.028127407993064709e-07 1.876422560016682352e-06
-2.580312882480288884e-06 -1.521095838109484592e-06 -1.057698842866047020e-06 -4.877387384048495880e-07 7.535937240528211560e-07
-2.983803015158841708e-06 -2.003430740449512204e-06 -1.496635049549685605e-06 -9.719291145588013043e-07 4.919818974566943188e-07
-3.400363494050103281e-06 -2.303419344162104442e-06 -1.895564950496553819e-06 -1.337930265258353439e-06 1.182786488556335909e-07
-3.652738359178244220e-06 -2.529035508092442533e-06 -2.036729223408923090e-06 -1.629159115617025839e-06 -2.965777758717900278e-07
-3.731187688769682083e-06 -2.497820155512695903e-06 -2.028015936688755629e-06 -1.570336645645878793e-06 -3.455355393630146835e-07
-3.313735378511363890e-06 -2.345178822667708080e-06 -1.858237745586086734e-06 -1.382594958097661026e-06 6.670739226997545541e-07
-3.287824447047316902e-06 -2.007172786404470290e-06 -1.532194170946849583e-06 -1.016440783884510287e-06 4.431999619773030699e-08
-3.108788901490569789e-06 -1.679955272346361054e-06 -1.142461280349092147e-06 -6.088801811747263847e-07 5.214015798668132914e-07
-2.588716486324997827e-06 -1.161389001849656872e-06 -6.114599995954418681e-07 -1.331807031111828561e-07 2.254010440212975535e-06
-2.247073451158500605e-06 -6.203491888193064210e-07 -1.005368835125189449e-07 2.963693059930000900e-07 1.361173741166310390e-06
-2.168176253537992543e-06 -1.645837535485688882e-07 3.789362155396322614e-07 8.275245810074679013e-07 1.818899872535463340e-06
-1.472092587480790892e-06 3.041292496605985998e-07 7.803732653756460668e-07 1.211117052642005825e-06 2.129918375893541394e-06
-1.173592786947229491e-06 6.942430625230667651e-07 1.114217961932458439e-06 1.544646751412136451e-06 2.597839701899170632e-06
-1.500106270789863649e-06 8.331398281626110220e-07 1.301731460064515905e-06 1.766909470482717956e-06 2.671876089047559809e-06
-8.971075150123816128e-07 9.300624887432443894e-07 1.400394403032462424e-06 1.862381007800968309e-06 2.747125346647503499e-06
-4.751680497008262223e-07 9.173723204955920556e-07 1.374609486326384069e-06 1.822699919487984740e-06 2.703325378452120316e-06
-5.789258883683729043e-07 7.041105716539032710e-07 1.196123758722377934e-06 1.597746990036354611e-06 2.493435335708901869e-06
-7.051275154159936567e-07 3.965199998194198347e-07 9.006027830356137532e-07 1.269061757410329366e-06 2.137247274871118556e-06
-7.861213580343995470e-07 2.181684723356117948e-08 5.185140821754154806e-07 9.803507638507962903e-07 1.838724231607129909e-06
-1.536157116139728546e-06 -4.156730804676273207e-07 4.132186312704415933e-08 5.483417915564837955e-07 1.539508715477123915e-06
