# 5_percentile 25_percentile 50_percentile 75_percentile 95_percentile
-6.824830787268571777e-04 4.297230490823511582e-04 1.300537646287242520e-03 1.593538259718344950e-03 1.942125800050775687e-03
-7.751528064549889239e-04 2.748976058271804354e-04 1.201168052499678287e-03 1.593227717269652321e-03 1.884372098820239361e-03
-1.011363570220776562e-03 1.192285577696762619e-04 1.087010255526666899e-03 1.538162275723721885e-03 1.869432217826231743e-03
-1.140074775868389536e-03 -2.481586095821609918e-05 9.661669863172327134e-04 1.462867125489023109e-03 1.813974079555508547e-03
-1.242885366782133308e-03 -2.499141651766520933e-04 8.406211501590253512e-04 1.344638319398080463e-03 1.787225372222041959e-03
-1.354651298566332583e-03 -4.440566333292926202e-04 6.764657422911643080e-04 1.247184600936049109e-03 1.706304362811978011e-03
-1.514747807249754987e-03 -6.348136529019556126e-04 4.924703459713950394e-04 1.113193462751831597e-03 1.651012249386202974e-03
-1.634998407633346052e-03 -7.872356708712001253e-04 3.353529011445537502e-04 9.540504771043462800e-04 1.545832613477100522e-03
-1.726527456353795734e-03 -9.260389646456796461e-04 1.285183977316585533e-04 7.967633719192997481e-04 1.428974778004130693e-03
-1.791022487568139478e-03 -1.059102959829413782e-03 -8.573744286459843698e-05 6.196589943083305853e-04 1.361790524706526584e-03
-1.824382747102960920e-03 -1.158291970576375658e-03 -2.685844384793158873e-04 4.022962674131514219e-04 1.295175055381223884e-03
-1.872774392117499288e-03 -1.217657659543484525e-03 -4.499148912025767856e-04 2.151932994796883062e-04 1.148847728370318202e-03
-1.913064710811945238e-03 -1.293822853359744875e-03 -6.558324779613554627e-04 2.147672724178428534e-05 9.279731541419975740e-04
-1.980293521167326900e-03 -1.337080854802095899e-03 -8.126540390133349910e-04 -1.755363571513950550e-04 6.936350270191026218e-04
-1.957895083086120310e-03 -1.400213604995989049e-03 -9.381507750323917882e-04 -3.616808083934829792e-04 4.657786778509671682e-04
-1.967230345793078133e-03 -1.458426129916891778e-03 -1.019506054619938014e-03 -5.339359209774298745e-04 3.061573664177879737e-04
-1.863235767621178839e-03 -1.505720426656723945e-03 -1.120739684029843121e-03 -6.351151437502852281e-04 1.175380824130699514e-04
-1.879368586435479571e-03 -1.548315646740118252e-03 -1.171782042285422678e-03 -7.387485024568249620e-04 -1.742393921385801219e-05
-1.896320068183406354e-03 -1.550674427863353187e-03 -1.226305701757096894e-03 -8.358562280949124795e-04 -1.063791576559189653e-04
-1.888747155075253068e-03 -1.579402469264078266e-03 -1.267952144222332569e-03 -9.111393571212098204e-04 -1.256397714739130537e-04
-1.885222638371996740e-03 -1.582020400036672578e-03 -1.288402143564679799e-03 -9.229917689241426328e-04 -1.513284327469441260e-04
-1.937053357732857872e-03 -1.582665953170916571e-03 -1.327624702308648208e-03 -9.235410918992412004e-04 5.547186284784122944e-05
-1.946369768569790369e-03 -1.580821515811359386e-03 -1.347134084194171431e-03 -8.913876832315248454e-04 1.901591660205959728e-04
-1.958788143026055344e-03 -1.622692307730481086e-03 -1.355253666185936550e-03 -8.047362490982347839e-04 3.388174879481669981e-04
-1.955283107472722062e-03 -1.615011293614981251e-03 -1.351547321988862474e-03 -6.923490287056430952e-04 4.817050779823458108e-04
-1.923789581858345978e-03 -1.607860378244623575e-03 -1.339809548735928623e-03 -5.519789060308510995e-04 5.734148756117397536e-04
-1.915992241717994838e-03 -1.611372047872454069e-03 -1.268553321915237911e-03 -3.858194785300428755e-04 7.181890319001799170e-04
-1.898049382513627070e-03 -1.581359789936691643e-03 -1.173080947806021774e-03 -2.252794797059301665e-04 8.752773580117697953e-04
-1.854355743039419729e-03 -1.512037110462240413e-03 -1.069661763128449067e-03 -5.750379213958944544e-05 9.973632276062910449e-04
-1.819071310148750011e-03 -1.452985378286614877e-03 -9.363835402471940364e-04 1.139702616924759385e-04 1.161972928311210936e-03
-1.773803289732749523e-03 -1.322912700870796168e-03 -7.902551704982253627e-04 2.934250339161401772e-04 1.278912983553946291e-03
-1.706428247635416798e-03 -1.208777043444215528e-03 -6.254630046555371709e-04 5.035446635845851511e-04 1.425306664932078030e-03
-1.616611117800544496e-03 -1.063728170083939667e-03 -4.654862242677927945e-04 6.739432900277201374e-04 1.544875642672027165e-03
-1.515292036031159074e-03 -9.223735105843831363e-04 -2.846640121545755339e-04 8.517006496501226993e-04 1.662952234872728348e-03
-1.464489615921979893e-03 -7.829356283214904426e-04 -1.005760482883507424e-04 9.527798328407984484e-04 1.766058835508423552e-03
-1.331333989342964406e-03 -5.953319536762652874e-04 1.183614090111255874e-04 1.094868036473786808e-03 1.767073537981096601e-03
-1.246013492473441175e-03 -3.856058491519373695e-04 2.933090454773143582e-04 1.164955067732942589e-03 1.779865869979455929e-03
-1.077016123666012194e-03 -2.015891408196747794e-04 4.843956468420605862e-04 1.249669204787865395e-03 1.864246475371033945e-03
-8.507808224873447071e-04 1.859229686332427811e-05 6.855469004529068846e-04 1.298070091789136531e-03 1.946190225688101006e-03
-6.339235013819472398e-04 2.178356286077878562e-04 8.408090365476511693e-04 1.364640452322970175e-03 1.979518684088063096e-03
-4.415267652943632277e-04 3.999837690863364140e-04 9.281849403323673940e-04 1.409005395911972110e-03 1.988157075940596638e-03
-2.500102976970388952e-04 5.437365366912367669e-04 1.043719781566468689e-03 1.483887167612546378e-03 1.963203617487958071e-03
-4.805827022050555782e-05 6.664571050707872139e-04 1.126712208630293362e-03 1.529578938961296489e-03 1.889563802079095769e-03
6.854145524465500886e-05 7.706550496591468846e-04 1.203649102386412061e-03 1.563047373398383745e-03 1.880964810350984609e-03
1.264545699650713886e-04 8.743663683026846930e-04 1.268507528514795828e-03 1.576919473289340639e-03 1.909472688056361184e-03
1.207304589169920858e-04 9.419429995217503890e-04 1.273301975309745412e-03 1.591930747699830517e-03 1.898466604179215901e-03
8.761772824233894814e-05 9.461131986096063540e-04 1.330187678712075510e-03 1.598773273979476640e-03 1.928035240728556048e-03
-7.751993917627727647e-05 9.353097936611624516e-04 1.346072467494737607e-03 1.610505895474049001e-03 1.959361619015486614e-03
-2.454248862781225607e-04 8.973637175760029380e-04 1.362340806093683852e-03 1.619851837580156117e-03 1.980023128179633600e-03
-3.904116726453994084e-04 8.016915233148105314e-04 1.364231141698037022e-03 1.644764309590973899e-03 1.956303525730800855e-03
-4.830285557212453721e-04 6.548402476344156436e-04 1.359764370768430783e-03 1.638068975194491685e-03 1.975783528219824271e-03
-6.059503001681355297e-04 4.647786297304930671e-04 1.346892968870928940e-03 1.616013194783816158e-03 1.919540971795948145e-03
-7.811106182678361322e-04 3.455691403615642745e-04 1.247712867279295902e-03 1.608463428344207406e-03 1.919889905587474944e-03
-9.212276396004365729e-04 2.097434383532958014e-04 1.153065525980900754e-03 1.554584092785296504e-03 1.903529658448449785e-03
-1.060534684505815223e-03 -2.763576928710849797e-06 1.033539150938798988e-03 1.497553077604452370e-03 1.864134506302619985e-03
-1.235281774592822792e-03 -1.632285403367231356e-04 8.678333286174998943e-04 1.419499463942667117e-03 1.823661201760049064e-03
-1.355394417668144644e-03 -3.398362449795062890e-04 7.382760835505871883e-04 1.289516606263717714e-03 1.768100039073238448e-03
-1.432234620732471828e-03 -5.485315791726810570e-04 5.816463116030002461e-04 1.176530759368671743e-03 1.677993425243780095e-03
-1.588992771152657147e-03 -7.261099200560948517e-04 4.256597320059925488e-04 1.034268870336641378e-03 1.579434296437720944e-03
-1.713676372370752637e-03 -8.514152165861747822e-04 2.174871820710032257e-04 8.930779113629673397e-04 1.488769995852934217e-03
-1.782246991170398712e-03 -9.976760644481090338e-04 2.680047947714168011e-05 7.417751612527302089e-04 1.424053604337151063e-03
-1.791680592081518067e-03 -1.094839035052045263e-03 -1.876970865759236919e-04 5.373584915465085075e-04 1.381163882012012177e-03
-1.824790776034114969e-03 -1.178620853183144808e-03 -3.469487633880481139e-04 3.362127985530812034e-04 1.203723117133620370e-03
-1.919806362537199293e-03 -1.299953143890632008e-03 -5.557268586420186906e-04 1.124709590460056685e-04 1.045344743545313778e-03
-2.001744600181908692e-03 -1.320018803889747364e-03 -7.423779309071436988e-04 -9.227033910411181112e-05 8.424957030211754168e-04
-1.992842255303967081e-03 -1.381963583849001639e-03 -9.006612994945008971e-04 -2.684288606391404923e-04 6.081007576788727493e-04
-1.965532655597925643e-03 -1.408375411217559691e-03 -9.904901000861764462e-04 -4.492347312621354418e-04 4.055383601281667004e-04
-1.955352686024015851e-03 -1.502817551504359800e-03 -1.070724648579030438e-03 -5.779922937333165783e-04 2.176626020726042058e-04
-1.872769990534458532e-03 -1.513403930725700473e-03 -1.128870455867910395e-03 -6.905145945278413824e-04 4.251071508131040646e-05
-1.905390096526452057e-03 -1.534976374025760195e-03 -1.193372312879145821e-03 -7.932950315028713430e-04 -8.610294914134564756e-05
-1.892614908529999859e-03 -1.569269388225366657e-03 -1.250056124327980894e-03 -8.689613626949870169e-04 -1.286591704502365152e-04
-1.881141813401776292e-03 -1.572165559992979439e-03 -1.260929558090862846e-03 -9.157581680539880666e-04 -1.014044272924385942e-04
-1.930161180704008297e-03 -1.582568520873321380e-03 -1.312271115308378134e-03 -9.270470420421180130e-04 -1.260522456989849666e-05
-1.940762516214691175e-03 -1.597731538925726766e-03 -1.347910182039496665e-03 -9.201744082113158269e-04 1.269420697030145245e-04
-1.958228618343224071e-03 -1.613397939657050875e-03 -1.336966311659283646e-03 -8.586433004210125824e-04 3.099257368159370513e-04
-1.938199104742429398e-03 -1.630313423575386559e-03 -1.360056727294846855e-03 -7.856793802294399038e-04 3.956112247746755746e-04
-1.938120790843112342e-03 -1.627965637626233811e-03 -1.362834772945812657e-03 -6.108312521241769438e-04 5.917706089088740950e-04
